a,b,c,radical,support_vertices,covering_faces,zero_defect_cover,min_raw_defect,raw_face,raw_ratio,min_scalar_unmatched,scalar_face,scalar_ratio,min_monotone_unmatched,flow_face,flow_ratio,family,index
12769,40755456,40768225,575760990,7,86,False,6385,"C:5^2,C:1277^2",0.4343670869937688,0.0,"A:113^2,B:2^8,B:7^2",0.0,0.0,"A:113^2,B:2^8,B:7^2",0.0,pythagorean,56
13225,43718544,43731769,2514196470,8,177,False,6613,"C:17^2,C:389^2",0.40640811484984574,0.0,"A:5^2,A:23^2,B:2^4,B:19^2",0.0,0.0,"A:5^2,A:23^2,B:2^4,B:19^2",0.0,pythagorean,57
13689,46840336,46854025,24689730,7,86,False,8555,"B:29^2,B:59^2,C:5^2",0.5319190154863515,0.6406495497849871,"C:5^2,C:37^4",0.037636787189237166,0.8340569963438931,"A:13^2,B:2^4,B:29^2,C:5^2",0.04899905991602569,pythagorean,58
14161,50126400,50140561,1491471030,8,179,False,7081,"C:73^2,C:97^2",0.41969220084260345,0.0,"A:7^2,A:17^2,B:2^6,B:3^2,B:5^2",0.0,0.0,"A:7^2,A:17^2,B:2^6,B:3^2,B:5^2",0.0,pythagorean,59
14641,53582400,53597041,147371730,6,41,False,7321,C:7321^2,0.4731114658083155,0.0,"A:11^4,B:61^2",0.0,0.3580958484770953,"A:11^4,B:2^6,B:3^2,B:5^2",0.01903907509167193,pythagorean,60
15129,57214096,57229225,3519132090,8,180,False,7565,"C:5^2,C:17^2,C:89^2",0.40630965396510127,0.0,"A:3^2,A:41^2,B:2^4,B:31^2",0.0,0.0,"A:3^2,A:41^2,B:2^4,B:31^2",0.0,pythagorean,61
15625,61027344,61042969,50862630,7,87,False,7813,"C:13^2,C:601^2",0.5051409768469921,0.1824495567941291,"C:13^2,C:601^2",0.010281953693984226,0.8914050807482536,"A:5^6,B:3^4,B:7^2",0.050235176910721546,pythagorean,62
16129,65028096,65044225,43018710,6,41,False,8065,"C:5^2,C:1613^2",0.5117605068816113,0.4134322858173505,"C:5^2,C:1613^2",0.023521013763222624,1.8152890054551467,"A:127^2,B:2^14",0.10327552817295078,pythagorean,63
16641,69222400,69239041,139543170,7,88,False,8321,"C:53^2,C:157^2",0.4813156273527736,0.0,"A:3^2,A:43^2,B:5^2,B:13^2",0.0,0.007661955356879524,"A:3^2,A:43^2,B:5^2,B:13^2",0.0004085529761453924,pythagorean,64
17161,73616400,73633561,4822436190,7,80,False,8581,C:8581^2,0.4062201433896503,0.0,"A:131^2,B:2^4,B:3^2,B:11^2",0.0,0.0,"A:131^2,B:2^4,B:3^2,B:11^2",0.0,pythagorean,65
