n,is_prime_index,p,residue_mod_p2,quotient_mod_p,method,status
1927,0,2297,2028251,883,small-prime recurrence scan,not_squarefull
1928,0,3,3,1,small-prime recurrence scan,not_squarefull
1929,0,5,5,1,small-prime recurrence scan,not_squarefull
1930,0,2,2,1,small-prime recurrence scan,not_squarefull
1931,1,3863,9931773,2571,small-prime recurrence scan,not_squarefull
1932,0,5,10,2,small-prime recurrence scan,not_squarefull
1933,1,104381,6062448480,58080,small-prime recurrence scan,not_squarefull
1934,0,2,2,1,small-prime recurrence scan,not_squarefull
1935,0,7,35,5,small-prime recurrence scan,not_squarefull
1936,0,3,6,2,small-prime recurrence scan,not_squarefull
1937,0,79,2607,33,small-prime recurrence scan,not_squarefull
1938,0,2,2,1,small-prime recurrence scan,not_squarefull
1939,0,239,49712,208,small-prime recurrence scan,not_squarefull
1940,0,3,3,1,small-prime recurrence scan,not_squarefull
1941,0,5,20,4,small-prime recurrence scan,not_squarefull
1942,0,2,2,1,small-prime recurrence scan,not_squarefull
1943,0,4289,7033960,1640,small-prime recurrence scan,not_squarefull
1944,0,5,20,4,small-prime recurrence scan,not_squarefull
1945,0,29,812,28,small-prime recurrence scan,not_squarefull
1946,0,2,2,1,small-prime recurrence scan,not_squarefull
1947,0,5,15,3,small-prime recurrence scan,not_squarefull
1948,0,3,6,2,small-prime recurrence scan,not_squarefull
1949,1,573007,312343250665,545095,prime-index congruence search,not_squarefull
1950,0,2,2,1,small-prime recurrence scan,not_squarefull
1951,1,,,,,unresolved_by_search
1952,0,3,3,1,small-prime recurrence scan,not_squarefull
1953,0,5,10,2,small-prime recurrence scan,not_squarefull
1954,0,2,2,1,small-prime recurrence scan,not_squarefull
1955,0,29,667,23,small-prime recurrence scan,not_squarefull
1956,0,5,5,1,small-prime recurrence scan,not_squarefull
1957,0,37,222,6,small-prime recurrence scan,not_squarefull
1958,0,2,2,1,small-prime recurrence scan,not_squarefull
1959,0,5,5,1,small-prime recurrence scan,not_squarefull
1960,0,3,6,2,small-prime recurrence scan,not_squarefull
1961,0,223,15833,71,small-prime recurrence scan,not_squarefull
1962,0,2,2,1,small-prime recurrence scan,not_squarefull
1963,0,79,4108,52,small-prime recurrence scan,not_squarefull
1964,0,3,3,1,small-prime recurrence scan,not_squarefull
1965,0,7,42,6,small-prime recurrence scan,not_squarefull
1966,0,2,2,1,small-prime recurrence scan,not_squarefull
1967,0,239,39913,167,small-prime recurrence scan,not_squarefull
1968,0,5,15,3,small-prime recurrence scan,not_squarefull
1969,0,23,345,15,small-prime recurrence scan,not_squarefull
1970,0,2,2,1,small-prime recurrence scan,not_squarefull
1971,0,5,20,4,small-prime recurrence scan,not_squarefull
1972,0,3,6,2,small-prime recurrence scan,not_squarefull
1973,1,5883487,26611099953305,4523015,prime-index congruence search,not_squarefull
1974,0,2,2,1,small-prime recurrence scan,not_squarefull
1975,0,29,377,13,small-prime recurrence scan,not_squarefull
1976,0,3,3,1,small-prime recurrence scan,not_squarefull
1977,0,5,15,3,small-prime recurrence scan,not_squarefull
1978,0,2,2,1,small-prime recurrence scan,not_squarefull
1979,1,69977441,872716307800195,12471395,prime-index congruence search,not_squarefull
1980,0,7,21,3,small-prime recurrence scan,not_squarefull
1981,0,239,6453,27,small-prime recurrence scan,not_squarefull
1982,0,2,2,1,small-prime recurrence scan,not_squarefull
1983,0,5,10,2,small-prime recurrence scan,not_squarefull
1984,0,3,6,2,small-prime recurrence scan,not_squarefull
1985,0,29,232,8,small-prime recurrence scan,not_squarefull
1986,0,2,2,1,small-prime recurrence scan,not_squarefull
1987,1,9394537,4527001911412,481876,prime-index congruence search,not_squarefull
1988,0,3,3,1,small-prime recurrence scan,not_squarefull
1989,0,5,5,1,small-prime recurrence scan,not_squarefull
1990,0,2,2,1,small-prime recurrence scan,not_squarefull
1991,0,23,207,9,small-prime recurrence scan,not_squarefull
1992,0,5,10,2,small-prime recurrence scan,not_squarefull
1993,1,11959,107810385,9015,small-prime recurrence scan,not_squarefull
1994,0,2,2,1,small-prime recurrence scan,not_squarefull
1995,0,29,87,3,small-prime recurrence scan,not_squarefull
1996,0,3,6,2,small-prime recurrence scan,not_squarefull
1997,1,11981,122433839,10219,small-prime recurrence scan,not_squarefull
1998,0,2,2,1,small-prime recurrence scan,not_squarefull
1999,1,47977,2036911512,42456,small-prime recurrence scan,not_squarefull
2000,0,3,3,1,small-prime recurrence scan,not_squarefull
