family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,source_count,sink_count,residual_numerator,residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,conductor,coarse_ratio_floor,assignment,assigned_packet_products,optimal_capped_reward_product,source_capacity_product
unit_prime_square,p=643,1,413448,413449,643^2,643:643,2;3;7;23;107,1,5,1,1,1,1,1,1,66461766,0,2->643;3->643;7->643;23->643;107->643,643:103362,643,643
unit_prime_square,p=647,1,418608,418609,647^2,647:647,2;3;17;19,1,4,1,1,1,1,1,1,1253886,0,2->647;3->647;17->647;19->647,647:1938,647,647
unit_prime_square,p=653,1,426408,426409,653^2,653:653,2;3;109;163,1,4,1,1,1,1,1,1,69611106,0,2->653;3->653;109->653;163->653,653:106602,653,653
unit_prime_square,p=659,1,434280,434281,659^2,659:659,2;3;5;7;11;47,1,6,1,1,1,1,1,1,71547630,0,2->659;3->659;5->659;7->659;11->659;47->659,659:108570,659,659
unit_prime_square,p=661,1,436920,436921,661^2,661:661,2;3;5;11;331,1,5,1,1,1,1,1,1,72201030,0,2->661;3->661;5->661;11->661;331->661,661:109230,661,661
unit_prime_square,p=673,1,452928,452929,673^2,673:673,2;3;7;337,1,4,1,1,1,1,1,1,9525642,0,2->673;3->673;7->673;337->673,673:14154,673,673
unit_prime_square,p=677,1,458328,458329,677^2,677:677,2;3;13;113,1,4,1,1,1,1,1,1,5967078,0,2->677;3->677;13->677;113->677,677:8814,677,677
unit_prime_square,p=683,1,466488,466489,683^2,683:683,2;3;11;19;31,1,5,1,1,1,1,1,1,26550942,0,2->683;3->683;11->683;19->683;31->683,683:38874,683,683
unit_prime_square,p=691,1,477480,477481,691^2,691:691,2;3;5;23;173,1,5,1,1,1,1,1,1,82484670,0,2->691;3->691;5->691;23->691;173->691,691:119370,691,691
unit_prime_square,p=701,1,491400,491401,701^2,701:701,2;3;5;7;13,1,5,1,1,1,1,1,1,1913730,0,2->701;3->701;5->701;7->701;13->701,701:2730,701,701
unit_prime_square,p=709,1,502680,502681,709^2,709:709,2;3;5;59;71,1,5,1,1,1,1,1,1,89100030,0,2->709;3->709;5->709;59->709;71->709,709:125670,709,709
unit_prime_square,p=719,1,516960,516961,719^2,719:719,2;3;5;359,1,4,1,1,1,1,1,1,7743630,0,2->719;3->719;5->719;359->719,719:10770,719,719
unit_prime_square,p=727,1,528528,528529,727^2,727:727,2;3;7;11;13,1,5,1,1,1,1,1,1,4366362,0,2->727;3->727;7->727;11->727;13->727,727:6006,727,727
unit_prime_square,p=733,1,537288,537289,733^2,733:733,2;3;61;367,1,4,1,1,1,1,1,1,98458026,0,2->733;3->733;61->733;367->733,733:134322,733,733
unit_prime_square,p=739,1,546120,546121,739^2,739:739,2;3;5;37;41,1,5,1,1,1,1,1,1,33631890,0,2->739;3->739;5->739;37->739;41->739,739:45510,739,739
unit_prime_square,p=743,1,552048,552049,743^2,743:743,2;3;7;31;53,1,5,1,1,1,1,1,1,51271458,0,2->743;3->743;7->743;31->743;53->743,743:69006,743,743
unit_prime_square,p=751,1,564000,564001,751^2,751:751,2;3;5;47,1,4,1,1,1,1,1,1,1058910,0,2->751;3->751;5->751;47->751,751:1410,751,751
unit_prime_square,p=757,1,573048,573049,757^2,757:757,2;3;7;379,1,4,1,1,1,1,1,1,12049926,0,2->757;3->757;7->757;379->757,757:15918,757,757
unit_prime_square,p=761,1,579120,579121,761^2,761:761,2;3;5;19;127,1,5,1,1,1,1,1,1,55088790,0,2->761;3->761;5->761;19->761;127->761,761:72390,761,761
unit_prime_square,p=769,1,591360,591361,769^2,769:769,2;3;5;7;11,1,5,1,1,1,1,1,1,1776390,0,2->769;3->769;5->769;7->769;11->769,769:2310,769,769
unit_prime_square,p=773,1,597528,597529,773^2,773:773,2;3;43;193,1,4,1,1,1,1,1,1,38490762,0,2->773;3->773;43->773;193->773,773:49794,773,773
unit_prime_square,p=787,1,619368,619369,787^2,787:787,2;3;131;197,1,4,1,1,1,1,1,1,121860654,0,2->787;3->787;131->787;197->787,787:154842,787,787
unit_prime_square,p=797,1,635208,635209,797^2,797:797,2;3;7;19;199,1,5,1,1,1,1,1,1,126565194,0,2->797;3->797;7->797;19->797;199->797,797:158802,797,797
